model,condition,context_condition,category,n,accuracy
qwen2b,c1,all,all,58492,0.546331122204746
qwen2b,c1,ambig,all,29246,0.3097517609245709
qwen2b,c1,disambig,all,29246,0.782910483484921
qwen2b,c1,ambig,Age,1840,0.27880434782608693
qwen2b,c1,disambig,Age,1840,0.7673913043478261
qwen2b,c1,ambig,Disability_status,778,0.32005141388174807
qwen2b,c1,disambig,Disability_status,778,0.6580976863753213
qwen2b,c1,ambig,Gender_identity,2836,0.3385049365303244
qwen2b,c1,disambig,Gender_identity,2836,0.7993653032440057
qwen2b,c1,ambig,Nationality,1540,0.4253246753246753
qwen2b,c1,disambig,Nationality,1540,0.727922077922078
qwen2b,c1,ambig,Physical_appearance,788,0.2296954314720812
qwen2b,c1,disambig,Physical_appearance,788,0.6814720812182741
qwen2b,c1,ambig,Race_ethnicity,3440,0.36947674418604654
qwen2b,c1,disambig,Race_ethnicity,3440,0.8119186046511628
qwen2b,c1,ambig,Race_x_SES,5580,0.2600358422939068
qwen2b,c1,disambig,Race_x_SES,5580,0.7265232974910394
qwen2b,c1,ambig,Race_x_gender,7980,0.237468671679198
qwen2b,c1,disambig,Race_x_gender,7980,0.8426065162907268
qwen2b,c1,ambig,Religion,600,0.43833333333333335
qwen2b,c1,disambig,Religion,600,0.7216666666666667
qwen2b,c1,ambig,SES,3432,0.42395104895104896
qwen2b,c1,disambig,SES,3432,0.7934149184149184
qwen2b,c1,ambig,Sexual_orientation,432,0.38425925925925924
qwen2b,c1,disambig,Sexual_orientation,432,0.7430555555555556
qwen2b,c2,all,all,58492,0.5238836080147713
qwen2b,c2,ambig,all,29246,0.2552485810025303
qwen2b,c2,disambig,all,29246,0.7925186350270123
qwen2b,c2,ambig,Age,1840,0.24728260869565216
qwen2b,c2,disambig,Age,1840,0.7646739130434783
qwen2b,c2,ambig,Disability_status,778,0.29562982005141386
qwen2b,c2,disambig,Disability_status,778,0.6478149100257069
qwen2b,c2,ambig,Gender_identity,2836,0.27397743300423133
qwen2b,c2,disambig,Gender_identity,2836,0.814527503526093
qwen2b,c2,ambig,Nationality,1540,0.36753246753246754
qwen2b,c2,disambig,Nationality,1540,0.7551948051948052
qwen2b,c2,ambig,Physical_appearance,788,0.19416243654822335
qwen2b,c2,disambig,Physical_appearance,788,0.6903553299492385
qwen2b,c2,ambig,Race_ethnicity,3440,0.28343023255813954
qwen2b,c2,disambig,Race_ethnicity,3440,0.8215116279069767
qwen2b,c2,ambig,Race_x_SES,5580,0.22688172043010751
qwen2b,c2,disambig,Race_x_SES,5580,0.7317204301075269
qwen2b,c2,ambig,Race_x_gender,7980,0.17543859649122806
qwen2b,c2,disambig,Race_x_gender,7980,0.8538847117794486
qwen2b,c2,ambig,Religion,600,0.39
qwen2b,c2,disambig,Religion,600,0.7233333333333334
qwen2b,c2,ambig,SES,3432,0.3723776223776224
qwen2b,c2,disambig,SES,3432,0.8056526806526807
qwen2b,c2,ambig,Sexual_orientation,432,0.30324074074074076
qwen2b,c2,disambig,Sexual_orientation,432,0.7592592592592593
qwen2b,c3,all,all,58011,0.4981296650635224
qwen2b,c3,ambig,all,29005,0.16907429753490777
qwen2b,c3,disambig,all,29006,0.8271736882024409
qwen2b,c3,ambig,Age,1599,0.11194496560350219
qwen2b,c3,disambig,Age,1600,0.801875
qwen2b,c3,ambig,Disability_status,778,0.2365038560411311
qwen2b,c3,disambig,Disability_status,778,0.7005141388174807
qwen2b,c3,ambig,Gender_identity,2836,0.1755994358251058
qwen2b,c3,disambig,Gender_identity,2836,0.843441466854725
qwen2b,c3,ambig,Nationality,1540,0.2831168831168831
qwen2b,c3,disambig,Nationality,1540,0.7902597402597402
qwen2b,c3,ambig,Physical_appearance,788,0.0901015228426396
qwen2b,c3,disambig,Physical_appearance,788,0.7271573604060914
qwen2b,c3,ambig,Race_ethnicity,3440,0.16627906976744186
qwen2b,c3,disambig,Race_ethnicity,3440,0.8438953488372093
qwen2b,c3,ambig,Race_x_SES,5580,0.16810035842293908
qwen2b,c3,disambig,Race_x_SES,5580,0.7815412186379929
qwen2b,c3,ambig,Race_x_gender,7980,0.10426065162907268
qwen2b,c3,disambig,Race_x_gender,7980,0.8713032581453634
qwen2b,c3,ambig,Religion,600,0.30333333333333334
qwen2b,c3,disambig,Religion,600,0.7616666666666667
qwen2b,c3,ambig,SES,3432,0.2686480186480186
qwen2b,c3,disambig,SES,3432,0.8645104895104895
qwen2b,c3,ambig,Sexual_orientation,432,0.20833333333333334
qwen2b,c3,disambig,Sexual_orientation,432,0.7916666666666666
qwen7b,c1,all,all,58492,0.804400601791698
qwen7b,c1,ambig,all,29246,0.6675784722697121
qwen7b,c1,disambig,all,29246,0.941222731313684
qwen7b,c1,ambig,Age,1840,0.5141304347826087
qwen7b,c1,disambig,Age,1840,0.9532608695652174
qwen7b,c1,ambig,Disability_status,778,0.6555269922879178
qwen7b,c1,disambig,Disability_status,778,0.9087403598971723
qwen7b,c1,ambig,Gender_identity,2836,0.7133286318758815
