model,condition,category,accuracy_overall,accuracy_ambig,accuracy_disamb,sDIS,sAMB,n_biased_dis,n_non_unk_dis,n_biased_amb,n_non_unk_amb,n_valid,n_total,coverage
qwen2b,c1,all,0.546331122204746,0.3097517609245709,0.782910483484921,0.014316262549382008,0.07915612391438145,13993,27591,11251,20187,58492,58492,1.0
qwen2b,c1,Age,0.5230978260869565,0.27880434782608693,0.7673913043478261,0.050866405813303484,0.20380434782608697,940,1789,851,1327,3680,3680,1.0
qwen2b,c1,Disability_status,0.4890745501285347,0.32005141388174807,0.6580976863753213,0.17109144542772858,0.16580976863753222,397,678,329,529,1556,1556,1.0
qwen2b,c1,Gender_identity,0.568935119887165,0.3385049365303244,0.7993653032440057,0.044742729306487705,0.10930888575458386,1401,2682,1093,1876,5672,5672,1.0
qwen2b,c1,Nationality,0.5766233766233766,0.4253246753246753,0.727922077922078,0.0281786941580755,0.02012987012987011,748,1455,458,885,3080,3080,1.0
qwen2b,c1,Physical_appearance,0.45558375634517767,0.2296954314720812,0.6814720812182741,0.15775401069518713,0.40736040609137064,433,748,464,607,1576,1576,1.0
qwen2b,c1,Race_ethnicity,0.5906976744186047,0.36947674418604654,0.8119186046511628,-0.0015600624024960652,0.07703488372093024,1600,3205,1217,2169,6880,6880,1.0
qwen2b,c1,Race_x_SES,0.4932795698924731,0.2600358422939068,0.7265232974910394,-0.004636785162287493,0.026702508960573395,2576,5176,2139,4129,11160,11160,1.0
qwen2b,c1,Race_x_gender,0.5400375939849624,0.237468671679198,0.8426065162907268,-0.002179207793872595,0.04874686716791985,3892,7801,3237,6085,15960,15960,1.0
qwen2b,c1,Religion,0.58,0.43833333333333335,0.7216666666666667,0.04800000000000004,0.014999999999999956,262,500,173,337,1200,1200,1.0
qwen2b,c1,SES,0.6086829836829837,0.42395104895104896,0.7934149184149184,-0.020912547528517123,0.10168997668997666,1545,3156,1163,1977,6864,6864,1.0
qwen2b,c1,Sexual_orientation,0.5636574074074074,0.38425925925925924,0.7430555555555556,-0.007481296758104716,-0.027777777777777773,199,401,127,266,864,864,1.0
qwen2b,c2,all,0.5238836080147713,0.2552485810025303,0.7925186350270123,0.015354741270811711,0.07580523832318949,14118,27809,11999,21781,58492,58492,1.0
qwen2b,c2,Age,0.5059782608695652,0.24728260869565216,0.7646739130434783,0.05586592178770955,0.24619565217391307,945,1790,919,1385,3680,3680,1.0
qwen2b,c2,Disability_status,0.4717223650385604,0.29562982005141386,0.6478149100257069,0.14032496307237818,0.16966580976863757,386,677,340,548,1556,1556,1.0
qwen2b,c2,Gender_identity,0.5442524682651622,0.27397743300423133,0.814527503526093,0.05813528336380247,0.1364598025387871,1447,2735,1223,2059,5672,5672,1.0
qwen2b,c2,Nationality,0.5613636363636364,0.36753246753246754,0.7551948051948052,0.0195023537323471,0.02727272727272722,758,1487,508,974,3080,3080,1.0
qwen2b,c2,Physical_appearance,0.44225888324873097,0.19416243654822335,0.6903553299492385,0.16799999999999993,0.4175126903553299,438,750,482,635,1576,1576,1.0
qwen2b,c2,Race_ethnicity,0.5524709302325581,0.28343023255813954,0.8215116279069767,-0.002776920703486563,0.06308139534883714,1616,3241,1341,2465,6880,6880,1.0
qwen2b,c2,Race_x_SES,0.4793010752688172,0.22688172043010751,0.7317204301075269,-0.004825323296660855,0.027598566308243783,2578,5181,2234,4314,11160,11160,1.0
qwen2b,c2,Race_x_gender,0.5146616541353384,0.17543859649122806,0.8538847117794486,-0.0021703051193667777,0.030827067669172866,3908,7833,3413,6580,15960,15960,1.0
qwen2b,c2,Religion,0.5566666666666666,0.39,0.7233333333333334,0.05138339920948609,-0.016666666666666684,266,506,178,366,1200,1200,1.0
qwen2b,c2,SES,0.5890151515151515,0.3723776223776224,0.8056526806526807,-0.01686445971267958,0.07983682983682978,1574,3202,1214,2154,6864,6864,1.0
qwen2b,c2,Sexual_orientation,0.53125,0.30324074074074076,0.7592592592592593,-0.0073710073710073765,-0.016203703703703734,202,407,147,301,864,864,1.0
qwen2b,c3,all,0.4981296650635224,0.16907429753490777,0.8271736882024409,0.026982945076764908,0.08401999655231857,14482,28203,13269,24101,58011,58492,0.991776653217534
qwen2b,c3,Age,0.4570178180681463,0.11194496560350219,0.801875,0.06997455470737912,0.2263914946841777,841,1572,891,1420,3199,3680,0.8692934782608696
qwen2b,c3,Disability_status,0.4685089974293059,0.2365038560411311,0.7005141388174807,0.1783166904422253,0.16709511568123395,413,701,362,594,1556,1556,1.0
