model,condition,context_condition,n_categories,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
qwen2b,c1,all,11,0.5445154416779675,0.04856902100782355,0.45558375634517767,0.6086829836829837
qwen2b,c1,ambig,11,0.336900518612519,0.07742011103000299,0.2296954314720812,0.43833333333333335
qwen2b,c1,disambig,11,0.7521303647434159,0.05658260106507437,0.6580976863753213,0.8426065162907268
qwen2b,c2,all,11,0.5226310083276533,0.044460509017235646,0.44225888324873097,0.5890151515151515
qwen2b,c2,ambig,11,0.2845412434936206,0.07148029169375407,0.17543859649122806,0.39
qwen2b,c2,disambig,11,0.7607207731616861,0.06105346654011531,0.6478149100257069,0.8538847117794486
qwen2b,c3,all,11,0.4951940206317552,0.04320709389317124,0.4086294416243655,0.566579254079254
qwen2b,c3,ambig,11,0.19238376623303644,0.07403384783857109,0.0901015228426396,0.30333333333333334
qwen2b,c3,disambig,11,0.7979846686184022,0.05495137296374508,0.7005141388174807,0.8713032581453634
qwen7b,c1,all,11,0.8000433398505339,0.055590097481589586,0.7081218274111675,0.875
qwen7b,c1,ambig,11,0.6744042979162177,0.08571304823597214,0.5141304347826087,0.7986111111111112
qwen7b,c1,disambig,11,0.9256823817848499,0.05336694078924654,0.7931472081218274,0.9892441860465117
qwen7b,c2,all,11,0.6971295065240393,0.06497433961914177,0.5869289340101523,0.7708333333333334
qwen7b,c2,ambig,11,0.45092133490050057,0.09817137894175154,0.296195652173913,0.5727598566308244
qwen7b,c2,disambig,11,0.943337678147578,0.046486329638940636,0.8261421319796954,0.9866008462623413
qwen7b,c3,all,11,0.65748828148641,0.05214300231690071,0.565989847715736,0.7557870370370371
qwen7b,c3,ambig,11,0.3842768742350595,0.08000800770770829,0.275062656641604,0.5439814814814815
qwen7b,c3,disambig,11,0.9306810808090682,0.05130034442292161,0.8223350253807107,0.98375
