category,n,acc_text,acc_img,pct_changed
Race_x_gender,15960,0.75,0.6034461152882206,0.23477443609022555
Race_x_SES,11160,0.8673835125448028,0.693010752688172,0.2050179211469534
Race_ethnicity,6880,0.8430232558139535,0.6683139534883721,0.21031976744186046
SES,6864,0.837995337995338,0.6923076923076923,0.17118298368298368
Gender_identity,5672,0.8349788434414669,0.6357545839210155,0.2554654442877292
Age,3680,0.7339673913043478,0.6317934782608695,0.1578804347826087
Nationality,3080,0.7727272727272727,0.6136363636363636,0.23993506493506495
Physical_appearance,1576,0.7081218274111675,0.559010152284264,0.2131979695431472
Disability_status,1556,0.781491002570694,0.622107969151671,0.2294344473007712
Religion,1200,0.7966666666666666,0.6475,0.22416666666666665
Sexual_orientation,864,0.8738425925925926,0.7557870370370371,0.1724537037037037
